ID;Date;global_id;AdmArea;District;Longitude_WGS84;Latitude_WGS84;Location;Results;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
Код;Дата выезда;global_id;Административный округ;Район;Долгота в WGS-84;Широта в WGS-84;Описание местоположения контрольной точки;Результаты выезда;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
176;29.03.2016;272399571;Северный административный округ;Войковский район;37.490694;55.820900;4-й Войковский проезд, дом 10;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
127;14.03.2016;272401183;Южный административный округ;район Орехово-Борисово Южное;37.748196;55.607504;Гурьевский проезд, дом 19, корпус 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
137;01.03.2016;272401184;Новомосковский административный округ;поселение Сосенское;37.439683;55.568480;деревня Сосенки, ЖК «Дубровка», Ясеневая улица, дом 5, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
153;29.03.2016;272401185;Новомосковский административный округ;поселение Рязановское;37.510538;55.457837;деревня Ерино, Западная улица, дом 16;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
423;02.03.2016;272410650;Юго-Восточный административный округ;район Выхино-Жулебино;37.805338;55.692237;улица Чугунные Ворота, дом 21, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
157;01.04.2016;272437694;Юго-Восточный административный округ;Рязанский район;37.749463;55.717452;Саратовская улица, дом 24;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
166;04.04.2016;272437695;Центральный административный округ;Басманный район;37.691513;55.771712;Чешихинский проезд, дом 18-20, строение 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
167;04.04.2016;272437697;Северо-Западный административный округ;район Митино;37.340676;55.845203;улица Барышиха, дом 25, корпус 5;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
178;06.04.2016;272437698;Южный административный округ;район Нагатинский Затон;37.693723;55.689517;Судостроительная улица, дом 59;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
179;07.04.2016;272437699;Южный административный округ;район Нагатино-Садовники;37.659605;55.674484;проспект Андропова, дом 38, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
